ID,Name,DIESEL,DEF
10749,pilotflyingj,4.889,3.989
10748,pilotflyingj,4.889,3.989
10747,pilotflyingj,4.799,3.989
10746,pilotflyingj,4.889,3.989
10745,pilotflyingj,4.899,3.989
10744,pilotflyingj,4.899,3.989
10743,pilotflyingj,4.699,3.989
10742,pilotflyingj,4.849,3.989
10741,pilotflyingj,4.789,3.989
10740,pilotflyingj,4.889,3.989
10739,pilotflyingj,4.849,3.989
10738,pilotflyingj,4.849,3.989
10737,pilotflyingj,4.879,3.989
10736,pilotflyingj,4.759,4.159
10734,pilotflyingj,4.959,4.399
10733,pilotflyingj,4.859,4.099
10726,pilotflyingj,4.999,3.999
10725,pilotflyingj,5.359,4.099
10722,pilotflyingj,5.199,
10721,pilotflyingj,6.199,4.299
10720,pilotflyingj,6.199,4.299
10719,pilotflyingj,5.099,4.199
10718,pilotflyingj,4.899,4.299
10717,pilotflyingj,5.099,4.199
10704,pilotflyingj,5.399,4.099
10703,pilotflyingj,5.159,4.399
10701,pilotflyingj,4.799,3.999
10697,pilotflyingj,4.959,4.159
10678,pilotflyingj,5.399,4.199
10672,pilotflyingj,4.899,4.159
10671,pilotflyingj,4.959,4.299
10669,pilotflyingj,5.299,
10668,pilotflyingj,5.159,
10666,pilotflyingj,5.399,4.159
10665,pilotflyingj,5.399,4.159
10662,pilotflyingj,5.059,4.199
10660,pilotflyingj,4.659,3.999
10659,pilotflyingj,5.399,4.159
10658,pilotflyingj,4.699,3.999
10657,pilotflyingj,5.299,
10651,pilotflyingj,5.199,
10650,pilotflyingj,5.199,
10649,pilotflyingj,5.159,3.999
10648,pilotflyingj,4.899,
10646,pilotflyingj,4.899,3.999
10641,pilotflyingj,5.199,
10640,pilotflyingj,5.159,
10639,pilotflyingj,5.159,
10637,pilotflyingj,5.399,4.199
4332,pilotflyingj,5.099,4.299
4327,pilotflyingj,4.999,4.099
4318,pilotflyingj,4.999,4.199
4315,pilotflyingj,5.399,
4314,pilotflyingj,5.399,4.099
4310,pilotflyingj,5.199,4.159
4308,pilotflyingj,5.099,4.199
4300,pilotflyingj,4.599,4.159
4281,pilotflyingj,5.059,4.199
4279,pilotflyingj,5.199,4.199
4274,pilotflyingj,5.199,4.299
4269,pilotflyingj,5.299,4.599
4266,pilotflyingj,5.449,4.299
4261,pilotflyingj,5.259,4.199
4259,pilotflyingj,5.199,
4248,pilotflyingj,5.359,4.099
4247,pilotflyingj,4.899,4.099
4245,pilotflyingj,5.259,4.099
4242,pilotflyingj,5.159,4.099
4239,pilotflyingj,5.099,4.259
4230,pilotflyingj,6.199,4.299
4229,pilotflyingj,4.799,4.199
4217,pilotflyingj,5.399,4.159
4200,pilotflyingj,5.499,4.449
4198,pilotflyingj,4.759,4.159
4197,pilotflyingj,4.539,3.999
4196,pilotflyingj,5.359,4.199
4193,pilotflyingj,4.659,4.159
4188,pilotflyingj,5.399,4.099
4180,pilotflyingj,4.859,4.099
4154,pilotflyingj,4.899,4.399
